1,Cr-Internals
2,Cr-Internals-Installer
3,OS-All
4,Pri-0
5,ReleaseBlock-Beta
6,Restrict-AddIssueComment-Commit
7,Size-Medium
8,Type-Bug-Regression
9,bulkmove
10,Cr-Blink
11,Cr-Internals-Media
12,M-4
13,Restrict-AddIssueComment-EditIssue
14,Security_Severity-None
15,Type-Bug
16,Video
17,Area-BrowserUI
18,MacOmnibox
19,OS-Mac
