
language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=1130.76 s (39.5 files/s, 8599.8 lines/s)"
C++,./sync/engine/syncer_unittest.cc,534,459,3978
Javascript,./chrome/test/data/dromaeo/lib/dojo.js,727,3783,3948
C/C++ Header,./third_party/wtl/include/atlctrlx.h,677,202,3945
C,./third_party/sqlite/src/src/os_unix.c,517,2329,3926
Perl,./third_party/tcmalloc/chromium/src/pprof,557,874,3917
C,./third_party/libxml/src/xmlreader.c,438,1410,3912
Perl,./third_party/lcov/bin/genhtml,870,1027,3902
C,./third_party/sqlite/src/tool/lemon.c,299,732,3897
C/C++ Header,./third_party/re2/util/valgrind.h,321,372,3825
C/C++ Header,./third_party/fontconfig/include/fc-lang/fclang.h,9,390,3777
C++,./cc/trees/layer_tree_host_unittest.cc,781,387,3729
C,./third_party/libpng/pngrtran.c,398,361,3708
C++,./net/quic/quic_framer_test.cc,533,748,3679
C++,./base/third_party/dmg_fp/dtoa.cc,175,398,3642
C++,./gpu/command_buffer/client/gles2_implementation.cc,346,194,3641
C++,./third_party/protobuf/src/google/protobuf/descriptor.cc,621,689,3637
C++,./content/browser/indexed_db/indexed_db_backing_store.cc,462,155,3604
C/C++ Header,./third_party/wtl/include/atlctrlw.h,453,204,3501
C++,./chrome/browser/extensions/api/downloads/downloads_api_browsertest.cc,341,273,3487
C++,./third_party/protobuf/src/google/protobuf/descriptor_unittest.cc,698,471,3487
C,./third_party/libusb/src/libusb/os/windows_usb.c,492,438,3475
Javascript,./chrome/test/data/v8_benchmark_v6/earley-boyer.js,377,834,3473
C++,./sync/syncable/directory_backing_store_unittest.cc,229,116,3465
C,./third_party/sqlite/src/src/vdbe.c,361,2162,3460
C++,./ui/aura/gestures/gesture_recognizer_unittest.cc,586,346,3407
C/C++ Header,./third_party/tcmalloc/vendor/src/third_party/valgrind.h,277,303,3344
HTML,./third_party/wtl/readme.htm,9,0,3327
Javascript,./chrome/test/data/dromaeo/lib/prototype.js,662,332,3326
C++,./net/spdy/spdy_session_unittest.cc,924,372,3300
C++,./content/child/webcrypto/shared_crypto_unittest.cc,523,465,3287
C/C++ Header,./gpu/command_buffer/common/gles2_cmd_format_test_autogen.h,201,51,3220
C++,./chrome/browser/prerender/prerender_browsertest.cc,582,629,3210
Java,./third_party/protobuf/java/src/test/java/com/google/protobuf/TestUtil.java,409,343,3203
C,./third_party/libxml/src/runtest.c,354,918,3199
C++,./chrome/browser/ui/autofill/autofill_dialog_controller_impl.cc,644,270,3190
C,./third_party/libxml/src/xmlwriter.c,566,986,3161
C/C++ Header,./third_party/wtl/include/atlmisc.h,601,270,3147
C++,./content/renderer/render_view_impl.cc,535,392,3094
C++,./net/socket/client_socket_pool_base_unittest.cc,684,365,3080
C/C++ Header,./third_party/wtl/include/atlgdi.h,576,196,3075
C,./third_party/sqlite/src/src/where.c,267,1661,3057
C,./third_party/sqlite/src/src/pager.c,500,3299,3049
C++,./content/browser/frame_host/navigation_controller_impl_unittest.cc,668,619,3045
C,./third_party/libxml/src/xmllint.c,243,443,3036
C++,./content/browser/web_contents/web_contents_impl.cc,602,440,3033
C/C++ Header,./gpu/command_buffer/common/gles2_cmd_utils_implementation_autogen.h,60,8,3004
C++,./net/disk_cache/entry_unittest.cc,621,353,2997
C++,./net/quic/quic_connection_test.cc,589,414,2994
C++,./cc/base/tiling_data_unittest.cc,277,252,2970
C++,./content/browser/appcache/appcache_update_job_unittest.cc,569,182,2967
C++,./content/browser/accessibility/browser_accessibility_win.cc,610,218,2965
Javascript,./third_party/webdriver/test_data/jquery-1.3.2.js,787,636,2953
Perl,./third_party/lcov/bin/lcov,538,837,2928
HTML,./chrome/test/data/dromaeo/tests/v8-raytrace.html,565,0,2879
C,./third_party/bintrees/bintrees/cwalker.c,269,665,2865
C++,./gpu/command_buffer/client/gles2_implementation_unittest.cc,384,166,2862
make,./third_party/yasm/source/config/android/Makefile,367,617,2838
make,./third_party/yasm/source/config/ios/Makefile,366,628,2828
Javascript,./chrome/test/data/dromaeo/lib/mootools.js,770,358,2818
C,./third_party/sqlite/src/src/select.c,254,1396,2815
C,./third_party/libpng/pngrutil.c,394,195,2808
C++,./chrome/renderer/autofill/form_autofill_browsertest.cc,499,206,2800
C/C++ Header,./third_party/wtl/include/atlframe.h,458,226,2778
C/C++ Header,./gpu/command_buffer/service/gles2_cmd_decoder_autogen.h,149,21,2765
C,./third_party/bintrees/bintrees/qavltree.c,209,429,2764
C,./third_party/bintrees/bintrees/qrbtree.c,209,426,2764
C,./third_party/bintrees/bintrees/qbintree.c,209,426,2762
C++,./cc/resources/resource_provider_unittest.cc,450,155,2758
C++,./cc/trees/occlusion_tracker_unittest.cc,486,349,2725
C++,./ui/views/view_unittest.cc,730,522,2712
C,./third_party/libxml/src/encoding.c,222,638,2712
C,./third_party/sqlite/src/src/tclsqlite.c,256,744,2676
HTML,./chrome/test/data/autofill/heuristics/input/03_checkout_gamestop.com.html,555,20,2661
C++,./chrome/browser/ui/autofill/autofill_dialog_controller_unittest.cc,584,331,2661
C++,./net/websockets/websocket_channel_test.cc,397,392,2648
Objective C++,./content/browser/renderer_host/render_widget_host_view_mac.mm,535,750,2648
C++,./pdf/pdfium/pdfium_engine.cc,438,326,2639
C++,./content/renderer/render_frame_impl.cc,465,493,2632
C++,./net/spdy/spdy_framer.cc,305,343,2623
C,./net/third_party/nss/ssl/sslcon.c,485,603,2608
C++,./net/disk_cache/backend_unittest.cc,597,307,2605
C,./third_party/libxml/src/catalog.c,322,898,2604
C++,./cc/output/gl_renderer.cc,445,197,2558
C,./net/third_party/nss/ssl/sslsock.c,377,196,2555
C++,./third_party/protobuf/src/google/protobuf/test_util.cc,368,131,2548
C++,./ui/aura/window_unittest.cc,545,365,2532
C,./third_party/libxml/src/debugXML.c,182,554,2526
C,./third_party/sqlite/src/src/expr.c,180,1054,2521
C++,./content/renderer/pepper/pepper_plugin_instance_impl.cc,393,338,2511
C++,./gpu/command_buffer/service/gles2_cmd_decoder_unittest_textures.cc,244,89,2498
C++,./chrome/browser/autocomplete/search_provider_unittest.cc,303,380,2491
Python,./third_party/re2/lib/codereview/codereview.py,435,637,2490
C,./third_party/libevent/evdns.c,350,351,2487
HTML,./chrome/test/data/dromaeo/tests/cssquery-yui.html,561,17,2487
HTML,./chrome/test/data/dromaeo/tests/cssquery-ext.html,561,17,2486
