
language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.60  T=212.74 s (90.1 files/s, 27775.8 lines/s)"
C,./third_party/harfbuzz/src/harfbuzz-gpos.c,1694,285,4076
C/C++ Header,./base/third_party/valgrind/valgrind.h,361,440,3991
C++,./third_party/mesa/MesaLib/src/glsl/glsl_parser.cpp,716,539,3978
Javascript,./chrome/test/data/dromaeo/lib/dojo.js,727,3783,3948
C/C++ Header,./third_party/wtl/include/atlctrlx.h,677,202,3945
C,./third_party/libxml/src/xmlreader.c,438,1410,3914
C,./third_party/mesa/MesaLib/src/mesa/drivers/x11/xm_span.c,338,576,3905
C,./third_party/sqlite/src/tool/lemon.c,295,703,3891
Python,./gpu/command_buffer/build_gles2_cmd_buffer.py,535,1051,3862
C,./third_party/sqlite/src/src/test1.c,378,982,3809
C++,./chrome/browser/automation/testing_automation_provider.cc,392,322,3799
C,./third_party/mesa/MesaLib/src/gallium/drivers/nv50/nv50_program.c,676,296,3725
C,./third_party/libpng/pngrtran.c,398,361,3698
C,./third_party/mesa/MesaLib/src/mesa/main/texstore.c,422,460,3654
XML,./third_party/mesa/MesaLib/src/mesa/main/APIspec.xml,650,42,3640
C++,./base/third_party/dmg_fp/dtoa.cc,174,396,3639
HTML,./third_party/mesa/MesaLib/docs/subset-A.html,0,0,3578
C/C++ Header,./third_party/protobuf/src/google/protobuf/descriptor.pb.h,524,287,3568
C/C++ Header,./third_party/wtl/include/atlctrlw.h,453,204,3501
Javascript,./chrome/test/data/v8_benchmark/earley-boyer.js,377,834,3473
Perl,./third_party/tcmalloc/vendor/src/pprof,530,751,3471
Perl,./third_party/tcmalloc/chromium/src/pprof,524,752,3467
C,./third_party/mongoose/mongoose.c,695,588,3465
C/C++ Header,./third_party/tcmalloc/vendor/src/third_party/valgrind.h,277,303,3344
C,./third_party/sqlite/preprocessed/parse.c,54,394,3344
HTML,./third_party/wtl/readme.htm,9,0,3327
Javascript,./chrome/test/data/dromaeo/lib/prototype.js,662,332,3326
C/C++ Header,./gpu/command_buffer/common/gles2_cmd_format_test_autogen.h,188,44,3278
Javascript,./o3d/samples/o3d-webgl-samples/box2d-3d/third_party/prototype-1.6.0.2.js,647,299,3275
C++,./net/http/http_cache_unittest.cc,1026,554,3269
C++,./third_party/protobuf/src/google/protobuf/descriptor.cc,564,600,3241
Perl,./third_party/lcov/bin/genhtml,729,853,3238
C,./third_party/libxml/src/runtest.c,354,918,3199
C,./third_party/sqlite/src/src/vdbe.c,331,2095,3195
HTML,./chrome/common/extensions/docs/windows.html,352,225,3179
C++,./chrome/browser/ui/browser.cc,592,548,3168
C,./third_party/libxml/src/xmlwriter.c,566,986,3161
C/C++ Header,./third_party/wtl/include/atlmisc.h,601,270,3147
HTML,./chrome/common/extensions/docs/cookies.html,332,215,3094
C,./third_party/sqlite/src/src/os_unix.c,402,1976,3083
C/C++ Header,./third_party/wtl/include/atlgdi.h,576,196,3075
C,./third_party/libxml/src/xmllint.c,243,443,3036
HTML,./chrome/common/extensions/docs/extension.html,341,221,3024
C++,./third_party/protobuf/src/google/protobuf/descriptor_unittest.cc,611,363,2992
C++,./chrome/browser/search_engines/template_url_prepopulate_data.cc,369,234,2971
C,./third_party/mesa/MesaLib/src/glsl/glcpp/glcpp-parse.c,692,565,2935
C,./third_party/mesa/MesaLib/src/gallium/auxiliary/tgsi/tgsi_exec.c,546,309,2930
C,./third_party/mesa/MesaLib/src/mesa/main/teximage.c,459,516,2909
HTML,./chrome/common/extensions/docs/samples.html,53,42,2892
HTML,./chrome/test/data/dromaeo/tests/v8-raytrace.html,565,0,2879
C,./third_party/harfbuzz/src/harfbuzz-gsub.c,1294,161,2874
C++,./net/tools/flip_server/flip_in_mem_edsm_server.cc,369,170,2872
C/C++ Header,./third_party/harfbuzz/contrib/tables/category-properties.h,6,1,2862
make,./third_party/yasm/source/config/linux/Makefile,367,617,2838
make,./third_party/yasm/source/config/mac/Makefile,366,628,2828
Javascript,./chrome/test/data/dromaeo/lib/mootools.js,770,358,2818
C,./third_party/mesa/MesaLib/src/mesa/program/lex.yy.c,449,426,2806
C,./third_party/libpng/pngrutil.c,393,191,2798
C/C++ Header,./third_party/wtl/include/atlframe.h,458,226,2778
C++,./webkit/appcache/appcache_update_job_unittest.cc,565,185,2717
C,./third_party/libxml/src/encoding.c,222,638,2712
HTML,./chrome/common/extensions/docs/history.html,288,186,2706
C++,./chrome/renderer/form_manager_browsertest.cc,362,166,2685
C,./third_party/mesa/MesaLib/src/mesa/swrast/s_texfilter.c,307,314,2679
C,./third_party/sqlite/src/src/select.c,242,1327,2673
C,./net/third_party/nss/ssl/sslcon.c,508,679,2667
C++,./third_party/mesa/MesaLib/src/glsl/glsl_lexer.cpp,420,430,2638
C,./third_party/libxml/src/catalog.c,322,898,2604
C++,./gpu/command_buffer/service/gles2_cmd_decoder_unittest.cc,198,82,2550
C++,./chrome/browser/tab_contents/tab_contents.cc,488,489,2547
C,./third_party/sqlite/src/src/shell.c,220,434,2544
C/C++ Header,./third_party/mesa/MesaLib/src/gallium/drivers/r300/r300_reg.h,293,697,2542
C/C++ Header,./third_party/tcmalloc/chromium/src/base/linux_syscall_support.h,121,369,2530
C,./third_party/libxml/src/debugXML.c,182,554,2527
HTML,./chrome/common/extensions/docs/contextMenus.html,264,173,2526
C/C++ Header,./gpu/command_buffer/service/gles2_cmd_decoder_autogen.h,154,17,2523
C,./third_party/mesa/MesaLib/src/gallium/drivers/r600/r600_shader.c,320,135,2489
C,./third_party/libevent/evdns.c,350,351,2487
HTML,./chrome/test/data/dromaeo/tests/cssquery-yui.html,561,17,2487
HTML,./chrome/test/data/dromaeo/tests/cssquery-ext.html,561,17,2486
HTML,./chrome/test/data/dromaeo/tests/cssquery-dojo.html,561,17,2485
HTML,./chrome/test/data/dromaeo/tests/cssquery-prototype.html,561,17,2484
HTML,./chrome/test/data/dromaeo/tests/cssquery-mootools.html,561,17,2484
HTML,./chrome/test/data/dromaeo/tests/cssquery-jquery.html,561,17,2484
C,./third_party/libxml/src/xmlIO.c,432,1098,2464
C++,./chrome/browser/extensions/extension_service_unittest.cc,568,393,2461
C,./third_party/sqlite/src/src/pager.c,388,2609,2453
HTML,./chrome/test/data/dromaeo/tests/dom-query.html,533,17,2450
HTML,./chrome/test/data/dromaeo/tests/dom-traverse.html,531,17,2424
HTML,./chrome/test/data/dromaeo/tests/dom-modify.html,533,17,2423
C++,./o3d/import/cross/collada.cc,247,418,2414
HTML,./chrome/test/data/dromaeo/tests/jslib-modify-jquery.html,533,17,2410
HTML,./chrome/test/data/dromaeo/tests/jslib-traverse-jquery.html,533,17,2410
HTML,./chrome/test/data/dromaeo/tests/jslib-traverse-prototype.html,533,17,2410
HTML,./chrome/test/data/dromaeo/tests/jslib-modify-prototype.html,533,17,2410
HTML,./chrome/test/data/dromaeo/tests/jslib-style-prototype.html,533,17,2409
HTML,./chrome/test/data/dromaeo/tests/jslib-style-jquery.html,533,17,2408
C/C++ Header,./third_party/mesa/MesaLib/src/mapi/glapi/glprocs.h,14,29,2404
HTML,./chrome/test/data/dromaeo/tests/jslib-attr-prototype.html,531,17,2401
HTML,./chrome/test/data/dromaeo/tests/jslib-attr-jquery.html,531,17,2401
HTML,./chrome/test/data/dromaeo/tests/dom-attr.html,530,17,2396
C,./third_party/sqlite/src/src/expr.c,166,982,2395
HTML,./chrome/test/data/dromaeo/tests/jslib-event-prototype.html,529,17,2390
HTML,./chrome/test/data/dromaeo/tests/jslib-event-jquery.html,529,17,2390
C,./third_party/sqlite/src/src/where.c,217,1356,2375
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/drivers/dri/r300/r300_reg.h,273,690,2371
C,./third_party/mesa/MesaLib/src/gallium/auxiliary/tgsi/tgsi_sse2.c,378,286,2371
C++,./third_party/protobuf/src/google/protobuf/test_util.cc,354,131,2369
Bourne Shell,./tools/valgrind/wine_memcheck/winetricks,568,613,2367
C,./third_party/sqlite/src/src/build.c,231,1104,2356
C++,./net/socket/client_socket_pool_base_unittest.cc,533,245,2338
C/C++ Header,./third_party/mesa/MesaLib/src/mesa/drivers/dri/r600/r600_reg_auto_r6xx.h,6,799,2284
HTML,./chrome/common/extensions/docs/management.html,255,167,2269
C,./third_party/sqlite/src/ext/fts1/fts1.c,326,772,2243
C++,./third_party/mesa/MesaLib/src/mesa/program/ir_to_mesa.cpp,466,257,2242
C,./third_party/libxslt/libexslt/date.c,477,1197,2240
yacc,./third_party/mesa/MesaLib/src/mesa/program/program_parse.y,400,139,2229
HTML,./chrome/test/data/find_in_page/bug_1155639.html,20,0,2225
