CVE-2012-2866,"",134897,true
CVE-2012-2868,"",136881,true
CVE-2012-2879,"",139168,true
CVE-2012-2883,"",140803,true
CVE-2012-2886,"",143437,true
CVE-2012-2887,"",143609,true
CVE-2012-2888,"",143656,true
CVE-2012-2889,"",143439,true
CVE-2012-2894,"",144899,true
CVE-2012-2900,"",138208,true
CVE-2012-5116,"",143761,true
CVE-2012-5119,"",149759,true
CVE-2012-5121,"",154055,true
CVE-2012-5136,"",159829,true
CVE-2012-5137,"",162835,true
CVE-2012-5139,"",158204,true
CVE-2012-5145,"",162494,true
CVE-2012-5146,"",165622,true
CVE-2012-5147,"",165864,true
CVE-2012-5851,"","",-1
CVE-2012-2850,"",132860 131690 131621 131252 131237 131068 130611 130592 130251,true
CVE-2012-2851,"",132861 132694 132585,true
CVE-2012-2852,"",134028,true
CVE-2012-2855,"",134888,true
CVE-2012-2856,"",135264 134954,true
CVE-2012-2864,"","",true
CVE-2012-4903,"",138210,true
CVE-2012-4904,"",138035,true
CVE-2012-4905,"",144813,true
CVE-2012-4906,"",144820,true
CVE-2012-4907,"",137532,true
CVE-2012-4908,"",144866,true
CVE-2012-4909,"",141889,true
CVE-2012-5129,"",145525,true
CVE-2012-5131,"",152746,true
CVE-2012-5155,"",163208,true
CVE-2013-0834,"",154283,true
CVE-2013-0839,"",151008,true
CVE-2013-0840,"",170532,true
CVE-2013-0842,"",166867,true
CVE-2013-0902,"",176882,true
CVE-2013-0903,"",176252,true
CVE-2013-0904,"",172926 172331,true
CVE-2013-0905,"",168982,true
CVE-2013-0906,"",174895,true
CVE-2013-0907,"",174150,true
CVE-2013-0908,"",174059,true
CVE-2013-0909,"",173906,true
CVE-2013-0910,"",172573,true
CVE-2013-0911,"",172264,true
CVE-2013-0912,"",180763,true
CVE-2013-0916,"",172342,true
CVE-2013-0917,"",180909,true
CVE-2013-0918,"",180555,true
CVE-2013-0920,"",177410,true
CVE-2013-0921,"",174943,true
CVE-2013-0922,"",174129,true
CVE-2013-0923,"",169981 169972 169765,true
CVE-2013-0924,"",169632,true
CVE-2013-0925,"",168442,true
CVE-2013-0926,"",112325,true
CVE-2013-2566,"","",-1
CVE-2013-0879,"",172243,true
CVE-2013-0880,"",171951,true
CVE-2013-0881,"",167069,true
CVE-2013-0882,"",165432,true
CVE-2013-0883,"",142169,true
CVE-2013-0884,"",172984,true
CVE-2013-0885,"",172369,true
CVE-2013-0886,"",171569,true
CVE-2013-0887,"",171065 170836,true
CVE-2013-0888,"",170666,true
CVE-2013-0889,"",170569,true
CVE-2013-0893,"",168570,true
CVE-2013-0894,"",168473,true
CVE-2013-0898,"",164643,true
CVE-2013-0913,"","",-1
CVE-2013-0915,"",181083,true
CVE-2013-0919,"",178760,true
CVE-2013-0927,"",189250,true
CVE-2013-2832,"",227197,true
CVE-2013-2833,"",227181,true
CVE-2013-2834,"",227158,true
CVE-2013-2835,"",196456,true
